OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31374,2024-064G,2026-01-27T20:31:30.370368,15.27596536,.0001391,42.9993,235.7201,270.5328,89.5364,0,U,59404,999,10331,.24421E-3,.6467E-4,0
STARLINK-31400,2024-064H,2026-01-27T18:50:00.485376,15.27579393,.0001575,43.0031,286.8648,275.4341,84.6330,0,U,59405,999,10297,.41815E-4,.889E-5,0
STARLINK-31391,2024-064J,2026-01-27T17:21:24.470496,15.27578370,.0001824,42.9995,287.2595,249.9957,110.0698,0,U,59406,999,10296,.13341E-3,.341E-4,0
STARLINK-31387,2024-064K,2026-01-27T18:18:46.157472,15.27579217,.0001171,43.0020,287.5586,258.1203,101.9518,0,U,59407,999,10296,.20032E-3,.5254E-4,0
STARLINK-31396,2024-064M,2026-01-27T17:38:18.125664,15.27577105,.0002257,43.0060,276.9569,262.5358,97.5237,0,U,59409,999,10302,.15951E-3,.4129E-4,0
STARLINK-31412,2024-064N,2026-01-27T17:47:18.585312,15.27575576,.0000453,43.0031,287.3937,230.8502,129.2310,0,U,59410,999,10296,.13751E-4,.117E-5,0
STARLINK-31483,2024-064P,2026-01-27T18:03:57.784896,15.27573353,.0000544,43.0002,287.4791,241.9505,118.1292,0,U,59411,999,10296,.81931E-4,.1993E-4,0
STARLINK-31568,2024-064Q,2026-01-27T18:07:40.322784,15.27569137,.0000766,42.9984,287.4978,255.8762,104.2005,0,U,59412,999,10296,-.59866E-5,-.426E-5,0
STARLINK-31615,2024-064R,2026-01-27T17:57:56.531808,15.27577388,.0001183,43.0028,280.5083,260.3483,99.7235,0,U,59413,999,10304,.42678E-4,.912E-5,0
STARLINK-31457,2024-064S,2026-01-26T18:29:18.221856,15.27571783,.00008472,43.0006,286.0556,279.5588,80.5168,0,U,59414,999,10289,-.3141828E-5,-.348E-5,0
STARLINK-31398,2024-064T,2026-01-26T18:09:24.914304,15.27577226,.00019094,43.0021,292.9001,276.5533,83.5101,0,U,59415,999,10281,-.11895009E-3,-.3534E-4,0
STARLINK-31399,2024-064U,2026-01-27T17:32:30.439104,15.27574823,.0000712,42.9965,287.3110,314.1265,45.9528,0,U,59416,999,10296,.3848E-4,.797E-5,0
STARLINK-31401,2024-064V,2026-01-27T17:52:24.513024,15.27579529,.0000958,43.0001,280.4921,271.0665,89.0077,0,U,59417,999,10279,.8774E-4,.2153E-4,0
STARLINK-31414,2024-064W,2026-01-27T17:58:24.814848,15.27583722,.0001764,43.0001,287.4473,277.7543,82.3109,0,U,59418,999,10296,.70692E-4,.1684E-4,0
STARLINK-31415,2024-064X,2026-01-27T18:35:23.024256,15.27596189,.0001035,43.0037,287.6448,250.8680,109.2060,0,U,59419,999,10296,.11543E-3,.2917E-4,0
STARLINK-31466,2024-064Y,2026-01-27T18:29:52.193472,15.27578853,.000131,43.0019,287.6147,255.9498,104.1208,0,U,59420,999,10296,.18835E-3,.4924E-4,0
STARLINK-11087 [DTC],2024-065A,2026-01-27T18:22:26.941440,15.69712085,.0002306,53.1585,295.7613,90.8622,269.2660,0,U,59421,999,10508,.30504E-5,-.221E-5,0
STARLINK-11090 [DTC],2024-065B,2026-01-27T01:12:45.186336,15.69680135,.0001376,53.1600,299.1161,67.7958,292.3206,0,U,59422,999,10499,.50014751E-4,.5467E-4,0
STARLINK-11093 [DTC],2024-065C,2026-01-27T18:08:19.383360,15.69714501,.000137,53.1591,295.6972,85.8946,274.2229,0,U,59423,999,10509,.1525E-4,.1259E-4,0
STARLINK-11083 [DTC],2024-065D,2026-01-27T10:36:57.832128,15.69713468,.00008375,53.1580,297.2979,142.0099,218.0978,0,U,59424,999,10499,.31043284E-4,.3175E-4,0
STARLINK-11085 [DTC],2024-065E,2026-01-27T01:05:40.742016,15.69706381,.00011646,53.1595,299.0815,76.0741,284.0406,0,U,59425,999,10493,.4421338E-5,-.53E-6,0
STARLINK-11089 [DTC],2024-065F,2026-01-27T18:29:31.098048,15.69711385,.0001125,53.1579,295.8091,82.1445,277.9701,0,U,59426,999,10509,.17247E-4,.1501E-4,0
STARLINK-31757,2024-065G,2026-01-27T11:59:48.432768,15.30199649,.00011094,53.1581,112.9670,94.9705,265.1423,0,U,59427,999,10262,.34741525E-3,.9944E-4,0
STARLINK-31773,2024-065J,2026-01-27T14:41:19.467168,15.30179932,.0001097,53.1596,114.3643,123.5717,236.5388,0,U,59429,999,10261,-.86346E-4,-.2914E-4,0
STARLINK-31772,2024-065K,2026-01-27T14:45:06.732000,15.30199937,.0000977,53.1591,112.2519,80.9649,279.1462,0,U,59430,999,10264,.53625E-4,.1229E-4,0
STARLINK-31613,2024-065L,2026-01-27T15:03:22.595904,15.30166214,.0001239,53.1603,112.3318,84.9098,275.2044,0,U,59431,999,10264,-.94846E-4,-.3164E-4,0
STARLINK-31780,2024-065M,2026-01-27T15:13:59.227392,15.30196037,.000102,53.1584,112.3741,81.8098,278.3019,0,U,59432,999,10264,.59139E-4,.1393E-4,0
